ts,activity,id,tag
110.684686,5,84,s
110.684686,4,85,s
110.724293,5,84,f
110.86752,6,76,f
110.86752,6,77,s
110.870783,6,77,f
110.870783,6,78,s
111.000537,2,87,f
111.000537,2,88,s
111.195076,6,78,f
111.195076,6,79,s
112.237261,6,79,f
112.237261,6,80,s
112.511364,2,88,f
112.698271,3,86,f
112.698271,3,87,s
112.839739,3,87,f
112.839739,3,88,s
113.184493,6,80,f
113.184493,6,81,s
113.31475,3,88,f
113.837213,4,85,f
113.837213,5,85,s
113.837213,4,86,s
114.049225,6,81,f
114.049225,6,82,s
114.719739,4,86,f
114.719739,4,87,s
114.960027,4,87,f
114.960027,4,88,s
115.242354,6,82,f
115.242354,6,83,s
115.289575,1,89,f
115.289575,1,90,s
115.289575,2,89,s
115.581176,4,88,f
115.69599,2,89,f
115.69599,3,89,s
115.873497,5,85,f
115.873497,5,86,s
115.980006,6,83,f
115.980006,6,84,s
116.131403,5,86,f
116.131403,5,87,s
116.269983,6,84,f
116.269983,6,85,s
116.333196,1,90,f
116.333196,1,91,s
116.333196,2,90,s
116.69611,6,85,f
116.69611,6,86,s
116.702747,3,89,f
116.702747,4,89,s
116.797619,6,86,f
116.937909,2,90,f
116.937909,3,90,s
117.141521,3,90,f
118.204271,4,89,f
118.204271,4,90,s
118.207408,4,90,f
119.758024,1,91,f
119.758024,1,92,s
119.758024,2,91,s
119.812857,5,87,f
119.812857,6,87,s
119.812857,5,88,s
119.873547,6,87,f
120.124921,5,88,f
120.124921,6,88,s
120.124921,5,89,s
120.217084,5,89,f
120.217084,5,90,s
120.621534,5,90,f
120.684607,6,88,f
120.684607,6,89,s
120.7522,1,92,f
120.7522,1,93,s
120.837434,1,93,f
120.837434,1,94,s
121.26284,2,91,f
121.26284,3,91,s
121.26284,2,92,s
121.852907,3,91,f
121.852907,4,91,s
122.470711,1,94,f
122.470711,1,95,s
122.519932,1,95,f
122.519932,1,96,s
122.616293,6,89,f
122.616293,6,90,s
122.625062,1,96,f
122.625062,1,97,s
122.790548,1,97,f
122.790548,1,98,s
122.894385,2,92,f
122.894385,3,92,s
122.894385,2,93,s
123.0513,1,98,f
123.0513,1,99,s
123.312243,4,91,f
123.312243,5,91,s
123.391427,1,99,f
123.391427,1,100,s
123.419387,6,90,f
123.421077,5,91,f
123.421077,6,91,s
123.492891,2,93,f
123.492891,2,94,s
123.758198,2,94,f
123.758198,2,95,s
124.169622,2,95,f
124.169622,2,96,s
