id,activity,ts
8617,4,2881.2
8621,1,2881.2
8617,5,2881.2
8618,3,2881.3
8622,1,2881.3
8618,5,2881.3
8619,3,2881.3
8619,5,2881.3
8623,1,2881.5
8614,2,2881.5
8624,1,2881.5
8614,5,2881.5
8622,3,2881.6
8625,1,2881.6
8622,5,2881.6
8623,3,2881.7
8626,1,2881.7
8623,5,2881.7
8625,3,2882.4
8627,1,2882.4
8626,3,2882.4
8628,1,2882.4
8625,5,2882.4
8626,5,2882.4
8627,3,2883
8629,1,2883
8627,5,2883
8628,3,2883.2
8630,1,2883.2
8628,5,2883.3
8616,2,2883.4
8631,1,2883.4
8616,5,2883.4
8620,4,2884.4
8632,1,2884.4
8620,5,2884.4
8629,3,2884.6
8633,1,2884.6
8629,5,2884.6
8630,3,2884.6
8634,1,2884.6
8630,5,2884.7
8624,2,2885.3
8635,1,2885.3
8624,5,2885.3
8633,3,2886.9
8636,1,2886.9
8633,5,2886.9
8621,4,2887.2
8637,1,2887.2
8621,5,2887.3
8631,2,2887.4
8638,1,2887.4
8632,4,2887.5
8639,1,2887.5
8631,5,2887.5
8632,5,2887.5
8634,3,2888.1
8640,1,2888.1
8637,4,2888.1
8634,5,2888.1
8641,1,2888.1
8637,5,2888.2
8636,3,2888.2
8642,1,2888.2
8636,5,2888.3
8639,4,2888.4
8643,1,2888.4
8639,5,2888.5
8635,2,2889.5
8644,1,2889.5
8635,5,2889.5
8640,3,2889.7
8645,1,2889.7
8640,5,2889.7
8641,4,2890.1
8646,1,2890.1
8641,5,2890.1
8638,2,2891.3
8647,1,2891.3
8638,5,2891.3
8642,3,2891.4
8648,1,2891.4
8642,5,2891.4
8644,2,2893
8649,1,2893
8644,5,2893
8643,4,2893.4
8650,1,2893.4
8643,5,2893.5
8646,4,2894.2
8651,1,2894.2
8650,4,2894.2
8646,5,2894.2
8652,1,2894.2
8650,5,2894.2
8651,4,2894.8
8653,1,2894.8
8651,5,2894.8
8647,2,2895
8654,1,2895
8647,5,2895
8652,4,2895.1
8655,1,2895.1
8652,5,2895.1
8653,4,2896.3
8656,1,2896.3
8653,5,2896.3
8649,2,2896.7
8657,1,2896.7
8649,5,2896.8
8645,3,2897.4
8658,1,2897.4
8645,5,2897.4
8655,4,2897.6
8659,1,2897.6
8655,5,2897.6
8654,2,2898.5
8660,1,2898.5
8654,5,2898.5
8648,3,2899.3
8661,1,2899.3
8648,5,2899.3
8656,4,2899.5
8662,1,2899.5
8656,5,2899.5
8659,4,2900.1
8663,1,2900.1
8659,5,2900.2
8662,4,2900.3
8664,1,2900.3
8662,5,2900.3
8658,3,2900.5
8665,1,2900.5
8658,5,2900.5
8657,2,2900.6
8666,1,2900.6
8657,5,2900.6
8663,4,2901.1
8667,1,2901.1
8663,5,2901.1
8664,4,2901.7
8668,1,2901.7
8664,5,2901.7
8667,4,2902.6
8669,1,2902.6
8667,5,2902.6
8660,2,2902.7
8670,1,2902.7
8660,5,2902.8
8661,3,2903.3
8671,1,2903.3
8661,5,2903.4
8666,2,2904.6
8672,1,2904.6
8666,5,2904.7
8668,4,2904.9
8673,1,2904.9
8668,5,2904.9
8669,4,2905.9
8674,1,2905.9
8669,5,2905.9
8665,3,2906
8675,1,2906
8665,5,2906
8673,4,2906.5
8676,1,2906.5
8673,5,2906.6
8670,2,2906.8
8677,1,2906.8
8670,5,2906.8
8674,4,2907.2
8678,1,2907.2
8674,5,2907.2
8671,3,2907.8
8679,1,2907.8
8671,5,2907.9
8676,4,2908.2
8680,1,2908.2
8676,5,2908.2
8672,2,2908.9
8681,1,2908.9
8672,5,2908.9
8675,3,2908.9
8682,1,2908.9
8675,5,2909
8678,4,2909.5
8683,1,2909.5
8678,5,2909.6
8680,4,2909.7
8684,1,2909.7
8680,5,2909.7
8679,3,2910.3
8685,1,2910.3
8679,5,2910.4
8677,2,2911
8686,1,2911
8677,5,2911
8683,4,2911.6
8687,1,2911.6
8683,5,2911.7
8684,4,2911.8
8688,1,2911.8
8684,5,2911.9
8687,4,2911.9
8689,1,2911.9
8687,5,2912
8688,4,2912.5
8690,1,2912.5
8688,5,2912.5
8681,2,2912.8
8691,1,2912.8
8681,5,2912.9
8689,4,2913
8692,1,2913
8689,5,2913
8690,4,2913.2
8693,1,2913.2
8690,5,2913.3
8682,3,2913.5
8694,1,2913.5
8682,5,2913.6
8685,3,2913.7
8695,1,2913.7
8685,5,2913.7
8692,4,2914
8696,1,2914
8692,5,2914
8694,3,2914
8697,1,2914
8694,5,2914
8695,3,2914.1
8698,1,2914.1
8695,5,2914.1
8693,4,2914.2
8699,1,2914.2
8693,5,2914.3
8686,2,2914.9
8700,1,2914.9
8686,5,2914.9
8696,4,2915.2
8701,1,2915.2
8696,5,2915.2
8697,3,2916.5
8702,1,2916.5
8697,5,2916.5
8699,4,2916.7
8703,1,2916.7
8699,5,2916.8
8691,2,2916.8
8704,1,2916.8
8698,3,2916.8
8705,1,2916.8
8691,5,2916.8
8698,5,2916.9
8700,2,2918.6
8706,1,2918.6
8700,5,2918.7
8701,4,2919.3
8707,1,2919.3
8701,5,2919.3
8702,3,2919.3
8708,1,2919.3
8702,5,2919.4
8705,3,2919.7
8709,1,2919.7
8705,5,2919.8
8708,3,2919.8
8710,1,2919.8
8708,5,2919.8
8709,3,2920.2
8711,1,2920.2
8709,5,2920.3
8704,2,2920.5
8712,1,2920.5
8704,5,2920.5
8710,3,2920.8
8713,1,2920.8
8710,5,2920.9
8711,3,2921.4
8714,1,2921.4
8711,5,2921.5
8703,4,2921.6
8715,1,2921.6
8703,5,2921.6
8713,3,2922.1
8716,1,2922.1
8713,5,2922.1
8714,3,2922.3
8717,1,2922.3
8714,5,2922.4
8706,2,2922.4
8718,1,2922.4
8706,5,2922.5
8707,4,2922.6
8719,1,2922.6
8707,5,2922.6
8715,4,2922.8
8720,1,2922.8
8715,5,2922.8
8719,4,2923.9
8721,1,2923.9
8719,5,2923.9
8712,2,2924.2
8722,1,2924.2
8712,5,2924.3
8716,3,2924.5
8723,1,2924.5
8720,4,2924.5
8716,5,2924.5
8724,1,2924.5
8720,5,2924.6
8717,3,2925.1
8725,1,2925.1
8717,5,2925.2
8723,3,2925.2
8726,1,2925.2
8723,5,2925.2
8721,4,2925.8
8727,1,2925.8
8721,5,2925.8
8724,4,2926.2
8728,1,2926.2
8724,5,2926.2
8718,2,2926.4
8729,1,2926.4
8718,5,2926.4
8725,3,2926.5
8730,1,2926.5
8725,5,2926.6
8727,4,2927.9
8731,1,2927.9
8727,5,2927.9
8722,2,2928.6
8732,1,2928.6
8722,5,2928.6
8726,3,2928.7
8733,1,2928.7
8726,5,2928.7
8728,4,2929.1
8734,1,2929.1
8728,5,2929.1
8730,3,2929.8
8735,1,2929.8
8730,5,2929.8
8733,3,2930
8736,1,2930
8733,5,2930
8731,4,2930
8737,1,2930
8731,5,2930.1
8729,2,2930.4
8738,1,2930.4
8734,4,2930.4
8739,1,2930.5
8729,5,2930.5
8734,5,2930.5
8737,4,2930.7
8740,1,2930.7
8737,5,2930.7
8739,4,2930.8
8741,1,2930.8
8739,5,2930.8
8740,4,2931.8
8742,1,2931.8
8740,5,2931.9
8732,2,2932.3
8743,1,2932.3
8732,5,2932.3
8735,3,2932.7
8744,1,2932.7
8735,5,2932.7
8741,4,2932.9
8745,1,2932.9
8741,5,2932.9
8736,3,2933.4
8746,1,2933.4
8736,5,2933.4
8738,2,2934.3
8747,1,2934.3
8738,5,2934.4
8742,4,2934.5
8748,1,2934.5
8742,5,2934.5
8745,4,2934.6
8749,1,2934.6
8745,5,2934.7
8744,3,2935.5
8750,1,2935.5
8744,5,2935.5
8743,2,2936.5
8751,1,2936.5
8743,5,2936.5
8746,3,2937.2
8752,1,2937.2
8746,5,2937.2
8747,2,2938.4
8753,1,2938.4
8747,5,2938.4
8751,2,2938.5
8754,1,2938.5
8751,5,2938.5
8753,2,2938.5
8755,1,2938.5
8753,5,2938.6
8754,2,2938.6
8756,1,2938.6
8754,5,2938.6
8750,3,2938.6
8757,1,2938.6
8755,2,2938.7
8750,5,2938.7
8758,1,2938.7
8756,2,2938.7
8755,5,2938.7
8756,5,2938.7
8759,1,2938.8
8758,2,2938.8
8760,1,2938.8
8758,5,2938.8
8759,2,2938.8
8761,1,2938.8
8752,3,2938.8
8759,5,2938.9
8762,1,2938.9
8752,5,2938.9
8760,2,2938.9
8763,1,2938.9
8760,5,2938.9
8761,2,2939
8764,1,2939
8761,5,2939
8763,2,2939
8765,1,2939
8763,5,2939.1
8764,2,2939.1
8766,1,2939.1
8764,5,2939.1
8765,2,2939.2
8767,1,2939.2
8765,5,2939.2
8766,2,2939.2
8768,1,2939.2
8766,5,2939.3
8767,2,2939.3
8769,1,2939.3
8767,5,2939.3
8768,2,2939.4
8770,1,2939.4
8768,5,2939.4
8769,2,2939.4
8771,1,2939.4
8769,5,2939.5
8770,2,2939.5
8772,1,2939.5
8770,5,2939.5
8771,2,2939.5
8773,1,2939.5
8771,5,2939.6
8772,2,2939.6
8774,1,2939.6
8772,5,2939.6
8773,2,2939.7
8775,1,2939.7
8773,5,2939.7
8774,2,2939.7
8776,1,2939.7
8774,5,2939.8
8775,2,2939.8
8777,1,2939.8
8775,5,2939.8
8757,3,2939.8
8778,1,2939.8
8776,2,2939.9
8757,5,2939.9
8779,1,2939.9
8776,5,2939.9
8777,2,2939.9
8780,1,2939.9
8777,5,2939.9
8762,3,2940.2
8781,1,2940.2
8762,5,2940.3
8748,4,2940.8
8782,1,2940.8
8748,5,2940.9
8779,2,2941.8
8783,1,2941.8
8779,5,2941.8
8749,4,2941.9
8784,1,2941.9
8782,4,2941.9
8749,5,2941.9
8785,1,2941.9
8782,5,2941.9
8778,3,2942.5
8786,1,2942.5
8778,5,2942.6
8781,3,2943.2
8787,1,2943.2
8781,5,2943.3
8780,2,2943.5
8788,1,2943.5
